#time,accel_x,accel_y,accel_z
93.119193,-9474.636058,74.020594,306.438199
93.119519,-9252.574275,0.000000,0.000000
93.119846,-9326.594869,74.020594,229.828649
93.120172,-9474.636058,370.102971,0.000000
93.120499,-9474.636058,0.000000,383.047749
93.120825,-9400.615463,444.123565,0.000000
93.121151,-9474.636058,222.061783,229.828649
93.121478,-9326.594869,0.000000,229.828649
93.121804,-9252.574275,148.041188,0.000000
93.122131,-9030.512492,370.102971,306.438199
93.122457,-9178.553681,0.000000,0.000000
93.122784,-9622.677246,74.020594,306.438199
93.123110,-9474.636058,0.000000,229.828649
93.123436,-9400.615463,0.000000,153.219100
93.123763,-9474.636058,74.020594,0.000000
93.124089,-9770.718434,0.000000,76.609550
93.124416,-9474.636058,0.000000,153.219100
93.124742,-9622.677246,222.061783,76.609550
93.125069,-9030.512492,0.000000,0.000000
93.125395,-9474.636058,0.000000,0.000000
93.125721,-9622.677246,0.000000,0.000000
93.126048,-9326.594869,-148.041188,383.047749
93.126374,-9474.636058,74.020594,0.000000
93.126701,-9474.636058,0.000000,0.000000
93.127027,-9474.636058,-148.041188,306.438199
93.127354,-9474.636058,0.000000,0.000000
93.127680,-9030.512492,0.000000,76.609550
93.128006,-9474.636058,0.000000,306.438199
93.128333,-9474.636058,-148.041188,153.219100
93.128659,-9622.677246,0.000000,229.828649
93.128986,-9104.533087,0.000000,306.438199
93.129312,-8734.430116,518.144159,76.609550
93.129639,-9474.636058,0.000000,0.000000
93.129965,-9474.636058,296.082377,0.000000
93.130291,-9178.553681,0.000000,306.438199
93.130618,-9252.574275,0.000000,689.485948
93.130944,-9474.636058,0.000000,229.828649
93.131271,-9548.656652,0.000000,0.000000
93.131597,-9326.594869,0.000000,459.657299
93.131924,-9474.636058,222.061783,76.609550
93.132250,-9400.615463,74.020594,229.828649
93.132576,-9474.636058,222.061783,229.828649
93.132903,-9400.615463,0.000000,153.219100
93.133229,-9326.594869,74.020594,76.609550
93.133556,-9474.636058,222.061783,306.438199
93.133882,-9326.594869,222.061783,153.219100
93.134209,-9474.636058,74.020594,0.000000
93.134535,-9252.574275,0.000000,76.609550
93.134861,-9400.615463,222.061783,229.828649
93.135188,-9252.574275,0.000000,306.438199
93.135514,-9400.615463,296.082377,229.828649
93.135841,-9326.594869,0.000000,383.047749
93.136167,-9326.594869,0.000000,229.828649
93.136494,-9474.636058,222.061783,0.000000
93.136820,-9326.594869,0.000000,229.828649
93.137146,-9474.636058,222.061783,0.000000
93.137473,-9474.636058,0.000000,306.438199
93.137799,-9622.677246,518.144159,0.000000
93.138126,-9548.656652,0.000000,0.000000
93.138452,-9474.636058,0.000000,153.219100
93.138779,-9326.594869,0.000000,153.219100
93.139105,-9178.553681,222.061783,306.438199
93.139431,-9474.636058,0.000000,0.000000
93.139758,-9178.553681,-296.082377,229.828649
93.140084,-9474.636058,0.000000,229.828649
93.140411,-9400.615463,0.000000,76.609550
93.140737,-9326.594869,0.000000,0.000000
93.141064,-9326.594869,0.000000,153.219100
93.141390,-9696.697840,148.041188,0.000000
93.141718,-9326.594869,296.082377,76.609550
93.142045,-9622.677246,74.020594,612.876398
93.142371,-9474.636058,0.000000,229.828649
93.142698,-9474.636058,0.000000,306.438199
93.143024,-9400.615463,148.041188,383.047749
93.143350,-9326.594869,74.020594,76.609550
93.143677,-9474.636058,0.000000,76.609550
93.144003,-9326.594869,-74.020594,306.438199
93.144330,-9400.615463,0.000000,0.000000
93.144656,-9252.574275,-222.061783,0.000000
93.144983,-9474.636058,148.041188,-153.219100
93.145309,-9474.636058,0.000000,76.609550
93.145635,-9548.656652,74.020594,306.438199
93.145962,-9474.636058,0.000000,459.657299
93.146288,-9178.553681,0.000000,76.609550
93.146615,-9474.636058,148.041188,153.219100
93.146941,-9474.636058,222.061783,153.219100
93.147268,-9474.636058,0.000000,76.609550
93.147594,-9326.594869,0.000000,229.828649
93.147920,-8956.491898,222.061783,0.000000
93.148247,-9030.512492,222.061783,76.609550
93.148573,-9104.533087,222.061783,0.000000
93.148900,-9252.574275,74.020594,-153.219100
93.149226,-9548.656652,148.041188,-229.828649
93.149552,-9622.677246,74.020594,0.000000
93.149879,-9474.636058,74.020594,0.000000
93.150205,-9474.636058,0.000000,229.828649
93.150532,-9548.656652,740.205942,306.438199
93.150858,-9474.636058,0.000000,536.266849
93.151185,-9326.594869,74.020594,153.219100
93.151511,-9474.636058,222.061783,229.828649
93.151837,-9326.594869,0.000000,0.000000
93.152164,-9474.636058,74.020594,0.000000
93.152490,-9400.615463,0.000000,153.219100
93.152817,-9400.615463,74.020594,0.000000
93.153143,-9474.636058,0.000000,229.828649
93.153470,-9252.574275,0.000000,76.609550
93.153796,-9548.656652,0.000000,229.828649
93.154122,-9622.677246,74.020594,0.000000
93.154449,-9548.656652,74.020594,306.438199
93.154775,-9548.656652,0.000000,612.876398
93.155102,-9474.636058,0.000000,0.000000
93.155428,-9400.615463,0.000000,0.000000
93.155755,-9400.615463,74.020594,0.000000
93.156081,-9474.636058,0.000000,0.000000
93.156407,-9104.533087,0.000000,229.828649
93.156734,-9474.636058,74.020594,76.609550
93.157060,-9474.636058,-222.061783,306.438199
93.157387,-9548.656652,0.000000,459.657299
93.157713,-9252.574275,74.020594,76.609550
93.158040,-9400.615463,0.000000,153.219100
93.158366,-9474.636058,148.041188,0.000000
93.158692,-9326.594869,296.082377,0.000000
93.159019,-9178.553681,0.000000,-229.828649
93.159345,-9696.697840,0.000000,0.000000
93.159672,-9474.636058,0.000000,0.000000
93.159998,-9474.636058,74.020594,76.609550
93.160325,-9178.553681,0.000000,383.047749
93.160651,-9326.594869,0.000000,229.828649
93.160977,-9400.615463,0.000000,306.438199
93.161304,-9474.636058,148.041188,0.000000
93.161630,-9474.636058,222.061783,0.000000
93.161957,-9622.677246,518.144159,76.609550
93.162283,-9326.594869,370.102971,0.000000
93.162609,-9474.636058,74.020594,229.828649
93.162936,-9326.594869,148.041188,0.000000
93.163262,-9548.656652,370.102971,76.609550
93.163589,-9326.594869,0.000000,76.609550
93.163915,-9474.636058,370.102971,0.000000
93.164242,-9326.594869,74.020594,76.609550
93.164568,-8956.491898,148.041188,0.000000
93.164894,-9474.636058,222.061783,459.657299
93.165221,-9474.636058,148.041188,383.047749
93.165547,-9326.594869,518.144159,0.000000
93.165874,-9474.636058,0.000000,0.000000
93.166200,-9326.594869,518.144159,0.000000
93.166527,-9548.656652,74.020594,383.047749
93.166853,-9474.636058,296.082377,153.219100
93.167179,-9400.615463,296.082377,0.000000
93.167506,-9252.574275,222.061783,0.000000
93.167832,-9474.636058,0.000000,0.000000
93.168159,-9474.636058,-148.041188,0.000000
93.168485,-9252.574275,0.000000,0.000000
93.168812,-9326.594869,-296.082377,536.266849
93.169138,-9252.574275,74.020594,76.609550
93.169464,-9178.553681,0.000000,0.000000
93.169791,-9474.636058,222.061783,0.000000
93.170117,-9474.636058,0.000000,306.438199
93.170444,-9252.574275,592.164754,383.047749
93.170770,-9696.697840,74.020594,0.000000
93.171097,-9474.636058,0.000000,383.047749
93.171423,-9474.636058,0.000000,76.609550
93.171749,-9400.615463,-296.082377,383.047749
93.172076,-9400.615463,222.061783,0.000000
93.172402,-9326.594869,148.041188,0.000000
93.172729,-9178.553681,0.000000,-153.219100
93.173055,-9400.615463,148.041188,-153.219100
93.173382,-9030.512492,74.020594,0.000000
93.173708,-9400.615463,0.000000,153.219100
93.174034,-9548.656652,0.000000,153.219100
93.174361,-9400.615463,0.000000,229.828649
93.174687,-9252.574275,296.082377,0.000000
93.175014,-9622.677246,148.041188,229.828649
93.175340,-9400.615463,0.000000,153.219100
93.175666,-9326.594869,0.000000,76.609550
93.175993,-9252.574275,296.082377,76.609550
93.176319,-9178.553681,0.000000,0.000000
93.176646,-9326.594869,0.000000,0.000000
93.176972,-9326.594869,74.020594,153.219100
93.177299,-9548.656652,74.020594,0.000000
93.177625,-9548.656652,370.102971,0.000000
93.177951,-9474.636058,74.020594,0.000000
93.178278,-9252.574275,74.020594,306.438199
93.178604,-9622.677246,370.102971,306.438199
93.178931,-9326.594869,296.082377,229.828649
93.179257,-9622.677246,74.020594,229.828649
93.179584,-9474.636058,74.020594,229.828649
93.179910,-9548.656652,296.082377,0.000000
93.180236,-9326.594869,74.020594,0.000000
93.180563,-9474.636058,148.041188,-383.047749
93.180889,-9400.615463,296.082377,76.609550
93.181216,-9326.594869,222.061783,0.000000
93.181542,-9400.615463,148.041188,229.828649
93.181869,-9474.636058,-296.082377,153.219100
93.182195,-9400.615463,74.020594,229.828649
93.182521,-9474.636058,74.020594,76.609550
93.182848,-9548.656652,222.061783,459.657299
93.183174,-9548.656652,-296.082377,1072.533697
93.183501,-9400.615463,222.061783,0.000000
93.183827,-9178.553681,0.000000,229.828649
93.184154,-9178.553681,0.000000,0.000000
93.184480,-9474.636058,222.061783,-76.609550
93.184806,-9252.574275,0.000000,0.000000
93.185133,-9252.574275,0.000000,153.219100
93.185459,-9252.574275,148.041188,76.609550
93.185786,-9252.574275,0.000000,306.438199
93.186112,-9030.512492,222.061783,0.000000
93.186438,-9622.677246,0.000000,153.219100
93.186765,-9474.636058,0.000000,229.828649
93.187091,-9400.615463,148.041188,76.609550
93.187418,-9030.512492,0.000000,0.000000
93.187744,-9474.636058,0.000000,153.219100
93.188071,-9474.636058,0.000000,153.219100
93.188397,-9474.636058,74.020594,229.828649
93.188723,-9252.574275,222.061783,0.000000
93.189050,-9104.533087,0.000000,-229.828649
93.189376,-9030.512492,-222.061783,153.219100
93.189703,-9474.636058,0.000000,153.219100
93.190029,-9474.636058,-148.041188,229.828649
93.190356,-9696.697840,222.061783,153.219100
93.190682,-9696.697840,0.000000,383.047749
93.191008,-9474.636058,74.020594,76.609550
93.191335,-9770.718434,74.020594,76.609550
93.191661,-9326.594869,-148.041188,536.266849
93.191988,-9474.636058,296.082377,-229.828649
93.192314,-9252.574275,0.000000,153.219100
93.192641,-9474.636058,74.020594,0.000000
93.192967,-9400.615463,0.000000,0.000000
93.193293,-9400.615463,222.061783,76.609550
93.193620,-9030.512492,148.041188,0.000000
93.193946,-9030.512492,0.000000,0.000000
93.194273,-9622.677246,74.020594,306.438199
93.194599,-9400.615463,296.082377,0.000000
93.194926,-9696.697840,296.082377,459.657299
93.195252,-9400.615463,148.041188,306.438199
93.195578,-9326.594869,74.020594,536.266849
93.195905,-9400.615463,74.020594,76.609550
93.196231,-9474.636058,370.102971,0.000000
93.196558,-9252.574275,0.000000,0.000000
93.196884,-9252.574275,296.082377,0.000000
93.197211,-9326.594869,74.020594,-229.828649
93.197537,-9474.636058,74.020594,153.219100
93.197863,-9474.636058,0.000000,306.438199
93.198190,-9548.656652,148.041188,76.609550
93.198516,-9474.636058,148.041188,76.609550
93.198843,-9844.739029,444.123565,306.438199
93.199169,-9622.677246,74.020594,536.266849
93.199495,-9474.636058,222.061783,229.828649
93.199822,-9400.615463,148.041188,0.000000
93.200148,-9252.574275,0.000000,459.657299
93.200475,-9474.636058,0.000000,-153.219100
93.200801,-9474.636058,0.000000,0.000000
93.201128,-9252.574275,0.000000,229.828649
93.201454,-9474.636058,0.000000,0.000000
93.201780,-9474.636058,222.061783,76.609550
93.202107,-9548.656652,0.000000,383.047749
93.202433,-9474.636058,0.000000,0.000000
93.202760,-9474.636058,0.000000,153.219100
93.203086,-9400.615463,0.000000,-459.657299
93.203413,-9474.636058,0.000000,0.000000
93.203739,-9548.656652,222.061783,0.000000
93.204065,-9252.574275,0.000000,306.438199
93.204392,-9326.594869,222.061783,0.000000
93.204718,-9178.553681,0.000000,536.266849
93.205045,-9474.636058,222.061783,-229.828649
93.205371,-9548.656652,0.000000,0.000000
93.205698,-9474.636058,0.000000,383.047749
93.206024,-9622.677246,222.061783,306.438199
93.206350,-9548.656652,74.020594,306.438199
93.206677,-9474.636058,74.020594,536.266849
93.207003,-9400.615463,148.041188,229.828649
93.207330,-9252.574275,0.000000,536.266849
93.207656,-9252.574275,74.020594,229.828649
93.207983,-9252.574275,296.082377,0.000000
93.208309,-9400.615463,74.020594,0.000000
93.208635,-9474.636058,370.102971,0.000000
93.208962,-9326.594869,-74.020594,76.609550
93.209288,-9326.594869,0.000000,229.828649
93.209615,-9178.553681,74.020594,76.609550
93.209941,-9474.636058,0.000000,229.828649
93.210268,-9030.512492,-74.020594,0.000000
93.210594,-9400.615463,0.000000,-153.219100
93.210920,-9326.594869,222.061783,0.000000
93.211247,-9326.594869,222.061783,76.609550
93.211573,-9400.615463,370.102971,153.219100
93.211900,-9696.697840,296.082377,153.219100
93.212226,-9474.636058,0.000000,0.000000
93.212552,-9474.636058,0.000000,306.438199
93.212879,-9474.636058,0.000000,0.000000
93.213205,-9474.636058,296.082377,76.609550
93.213532,-9178.553681,0.000000,229.828649
93.213858,-9178.553681,0.000000,0.000000
93.214185,-9400.615463,0.000000,459.657299
93.214511,-9622.677246,0.000000,0.000000
93.214837,-9474.636058,74.020594,0.000000
93.215164,-9400.615463,0.000000,76.609550
93.215490,-9326.594869,0.000000,0.000000
93.215817,-9474.636058,-148.041188,0.000000
93.216143,-9400.615463,0.000000,76.609550
93.216470,-9474.636058,0.000000,229.828649
93.216796,-9548.656652,-148.041188,229.828649
93.217122,-9474.636058,148.041188,0.000000
93.217449,-9474.636058,0.000000,0.000000
93.217775,-9252.574275,0.000000,153.219100
93.218102,-9252.574275,-148.041188,76.609550
93.218428,-9178.553681,0.000000,229.828649
93.218755,-9104.533087,0.000000,0.000000
93.219081,-9326.594869,0.000000,0.000000
93.219407,-9326.594869,0.000000,0.000000
93.219734,-9770.718434,74.020594,-153.219100
93.220060,-9326.594869,0.000000,689.485948
93.220387,-9622.677246,148.041188,229.828649
93.220713,-9474.636058,0.000000,76.609550
93.221040,-9326.594869,0.000000,229.828649
93.221366,-9474.636058,0.000000,306.438199
93.221692,-9770.718434,0.000000,0.000000
93.222019,-9474.636058,0.000000,76.609550
93.222345,-9400.615463,74.020594,0.000000
93.222672,-9178.553681,-148.041188,229.828649
93.222998,-9326.594869,592.164754,-383.047749
93.223325,-9474.636058,222.061783,76.609550
93.223651,-9178.553681,0.000000,-76.609550
