#time,accel_x,accel_y,accel_z
1372.298587,-9474.636058,296.082377,76.609550
1372.298912,-9326.594869,222.061783,536.266849
1372.299238,-9696.697840,222.061783,153.219100
1372.299563,-9474.636058,296.082377,229.828649
1372.299889,-9400.615463,296.082377,0.000000
1372.300214,-9326.594869,0.000000,612.876398
1372.300540,-9474.636058,74.020594,153.219100
1372.300866,-9474.636058,222.061783,76.609550
1372.301191,-9400.615463,0.000000,153.219100
1372.301517,-9400.615463,296.082377,76.609550
1372.301842,-9474.636058,148.041188,383.047749
1372.302168,-9400.615463,0.000000,0.000000
1372.302493,-9474.636058,148.041188,229.828649
1372.302819,-9400.615463,370.102971,0.000000
1372.303145,-9474.636058,370.102971,0.000000
1372.303470,-9252.574275,148.041188,0.000000
1372.303796,-9474.636058,0.000000,229.828649
1372.304121,-9400.615463,148.041188,0.000000
1372.304447,-9252.574275,74.020594,0.000000
1372.304772,-9326.594869,0.000000,-229.828649
1372.305098,-9326.594869,0.000000,76.609550
1372.305423,-9548.656652,0.000000,153.219100
1372.305749,-9474.636058,74.020594,306.438199
1372.306075,-9548.656652,296.082377,459.657299
1372.306400,-9696.697840,148.041188,153.219100
1372.306726,-9474.636058,74.020594,0.000000
1372.307051,-9400.615463,296.082377,0.000000
1372.307377,-9770.718434,296.082377,536.266849
1372.307702,-9400.615463,148.041188,153.219100
1372.308028,-9474.636058,0.000000,229.828649
1372.308354,-9400.615463,148.041188,0.000000
1372.308679,-9326.594869,74.020594,153.219100
1372.309005,-9104.533087,0.000000,0.000000
1372.309330,-9326.594869,74.020594,76.609550
1372.309656,-9474.636058,0.000000,229.828649
1372.309981,-9474.636058,74.020594,76.609550
1372.310307,-9474.636058,222.061783,612.876398
1372.310632,-9548.656652,74.020594,153.219100
1372.310958,-9548.656652,370.102971,0.000000
1372.311284,-9474.636058,74.020594,76.609550
1372.311609,-9474.636058,148.041188,153.219100
1372.311935,-9252.574275,74.020594,-383.047749
1372.312260,-9326.594869,0.000000,76.609550
1372.312586,-9474.636058,74.020594,229.828649
1372.312911,-9474.636058,296.082377,0.000000
1372.313237,-9400.615463,0.000000,153.219100
1372.313563,-9400.615463,222.061783,76.609550
1372.313888,-9548.656652,222.061783,0.000000
1372.314214,-9474.636058,222.061783,0.000000
1372.314539,-9844.739029,148.041188,459.657299
1372.314865,-9770.718434,148.041188,76.609550
1372.315190,-9400.615463,0.000000,76.609550
1372.315516,-9400.615463,0.000000,153.219100
1372.315842,-9400.615463,148.041188,0.000000
1372.316167,-9252.574275,0.000000,229.828649
1372.316493,-9474.636058,296.082377,-306.438199
1372.316818,-9474.636058,0.000000,-229.828649
1372.317144,-9252.574275,0.000000,0.000000
1372.317469,-9400.615463,0.000000,0.000000
1372.317795,-9474.636058,0.000000,0.000000
1372.318120,-9326.594869,296.082377,306.438199
1372.318446,-9474.636058,296.082377,76.609550
1372.318772,-9474.636058,370.102971,229.828649
1372.319097,-9326.594869,296.082377,76.609550
1372.319423,-9474.636058,370.102971,0.000000
1372.319748,-9474.636058,0.000000,536.266849
1372.320074,-9252.574275,0.000000,229.828649
1372.320399,-9326.594869,74.020594,0.000000
1372.320725,-9104.533087,0.000000,0.000000
1372.321051,-9178.553681,296.082377,0.000000
1372.321376,-9400.615463,74.020594,76.609550
1372.321702,-9400.615463,296.082377,536.266849
1372.322027,-9474.636058,444.123565,76.609550
1372.322353,-9400.615463,74.020594,0.000000
1372.322678,-9252.574275,0.000000,0.000000
1372.323004,-9918.759623,444.123565,229.828649
1372.323329,-9474.636058,222.061783,536.266849
1372.323655,-9400.615463,148.041188,153.219100
1372.323981,-9326.594869,0.000000,383.047749
1372.324306,-9252.574275,0.000000,306.438199
1372.324632,-9178.553681,0.000000,76.609550
1372.324957,-9474.636058,0.000000,76.609550
1372.325283,-9474.636058,74.020594,76.609550
1372.325608,-9474.636058,74.020594,-229.828649
1372.325934,-9622.677246,0.000000,536.266849
1372.326260,-9548.656652,0.000000,153.219100
1372.326585,-9474.636058,296.082377,0.000000
1372.326911,-9252.574275,0.000000,153.219100
1372.327236,-9326.594869,444.123565,536.266849
1372.327562,-9622.677246,74.020594,76.609550
1372.327887,-9252.574275,0.000000,0.000000
1372.328213,-9326.594869,74.020594,0.000000
1372.328539,-9400.615463,370.102971,0.000000
1372.328864,-9400.615463,148.041188,0.000000
1372.329190,-9696.697840,296.082377,-306.438199
1372.329515,-9622.677246,74.020594,0.000000
1372.329841,-9400.615463,222.061783,0.000000
