#time,accel_x,accel_y,accel_z
90.913588,-9474.636058,74.020594,0.000000
90.913914,-9474.636058,0.000000,383.047749
90.914240,-9474.636058,0.000000,76.609550
90.914566,-9474.636058,74.020594,0.000000
90.914893,-9252.574275,0.000000,229.828649
90.915219,-9400.615463,0.000000,76.609550
90.915545,-9474.636058,0.000000,0.000000
90.915872,-9252.574275,0.000000,0.000000
90.916198,-9178.553681,296.082377,0.000000
90.916524,-9696.697840,0.000000,76.609550
90.916850,-9474.636058,74.020594,0.000000
90.917177,-9696.697840,0.000000,0.000000
90.917503,-9326.594869,0.000000,0.000000
90.917829,-9178.553681,0.000000,612.876398
90.918156,-9326.594869,148.041188,229.828649
90.918482,-9400.615463,296.082377,0.000000
90.918808,-9474.636058,148.041188,306.438199
90.919134,-9178.553681,148.041188,0.000000
90.919461,-9474.636058,370.102971,0.000000
90.919787,-9326.594869,0.000000,229.828649
90.920113,-9400.615463,0.000000,0.000000
90.920440,-9548.656652,222.061783,0.000000
90.920766,-9400.615463,296.082377,0.000000
90.921092,-9474.636058,74.020594,0.000000
90.921419,-9178.553681,0.000000,0.000000
90.921745,-9474.636058,222.061783,153.219100
90.922071,-9474.636058,74.020594,229.828649
90.922397,-9326.594869,74.020594,153.219100
90.922724,-9252.574275,444.123565,0.000000
90.923050,-9474.636058,444.123565,0.000000
90.923376,-9474.636058,0.000000,229.828649
90.923703,-9548.656652,222.061783,229.828649
90.924029,-9400.615463,74.020594,229.828649
90.924355,-9400.615463,148.041188,0.000000
90.924681,-9474.636058,296.082377,-306.438199
90.925008,-9474.636058,0.000000,153.219100
90.925334,-9474.636058,0.000000,306.438199
90.925660,-9400.615463,74.020594,76.609550
90.925987,-9474.636058,222.061783,229.828649
90.926313,-9474.636058,0.000000,229.828649
90.926639,-9474.636058,0.000000,306.438199
90.926966,-9548.656652,0.000000,229.828649
90.927292,-9178.553681,74.020594,153.219100
90.927618,-9548.656652,0.000000,459.657299
90.927945,-9326.594869,0.000000,229.828649
90.928271,-9548.656652,0.000000,306.438199
90.928597,-9400.615463,0.000000,76.609550
90.928924,-9252.574275,0.000000,612.876398
90.929250,-9474.636058,148.041188,76.609550
90.929576,-9622.677246,148.041188,0.000000
90.929903,-9326.594869,0.000000,0.000000
90.930229,-9326.594869,0.000000,0.000000
90.930555,-9326.594869,0.000000,0.000000
90.930882,-9622.677246,74.020594,153.219100
90.931208,-9474.636058,74.020594,0.000000
90.931534,-9326.594869,0.000000,153.219100
90.931861,-9178.553681,74.020594,306.438199
90.932187,-9474.636058,0.000000,229.828649
90.932513,-9400.615463,0.000000,229.828649
90.932840,-9474.636058,0.000000,0.000000
90.933166,-9252.574275,0.000000,153.219100
90.933493,-9474.636058,222.061783,0.000000
90.933819,-9400.615463,-148.041188,0.000000
90.934145,-9474.636058,296.082377,0.000000
90.934472,-9326.594869,74.020594,153.219100
90.934798,-9474.636058,0.000000,459.657299
90.935124,-9326.594869,0.000000,229.828649
90.935451,-9548.656652,0.000000,306.438199
90.935777,-9474.636058,518.144159,76.609550
90.936103,-9474.636058,74.020594,459.657299
90.936430,-9400.615463,74.020594,153.219100
90.936756,-9326.594869,0.000000,153.219100
90.937082,-9400.615463,370.102971,-76.609550
90.937409,-9030.512492,222.061783,-306.438199
90.937735,-9474.636058,296.082377,0.000000
90.938061,-9474.636058,296.082377,0.000000
90.938388,-9474.636058,0.000000,536.266849
90.938714,-9474.636058,74.020594,153.219100
90.939040,-8956.491898,74.020594,229.828649
90.939367,-9474.636058,148.041188,306.438199
90.939693,-9474.636058,-148.041188,0.000000
90.940019,-9474.636058,-74.020594,153.219100
90.940346,-9696.697840,296.082377,383.047749
90.940672,-9474.636058,370.102971,-153.219100
